;Unnamed: 0;Type;Sent;Hits;CTR;channel
0;0;1;272048;9679;3,56;VK
1;1;2;1068417;91426;8,56;VK
2;2;3;33265;1015;3,05;VK
3;3;4;150810;2603;1,73;VK
4;4;5;31716;1060;3,34;VK
5;5;6;720777;15689;2,18;VK
6;6;7;7177239;55967;0,78;VK
7;7;8;50521;2403;4,76;VK
8;8;9;429563;8797;2,05;VK
9;9;10;418529;8150;1,95;VK
10;10;11;418650;8628;2,06;VK
11;11;12;419252;7867;1,88;VK
12;12;13;419263;8686;2,07;VK
13;13;14;417779;7805;1,87;VK
14;14;15;418499;8371;2;VK
15;15;16;418836;8258;1,97;VK
16;16;17;96730;1629;1,68;VK
17;17;18;4544;17;0,37;VK
18;18;19;66;9;13,64;VK
19;19;20;78151;1973;2,52;VK
20;20;21;204114;4960;2,43;VK
21;21;22;3042474;27205;0,89;VK
22;22;23;526373;10754;2,04;VK
23;23;24;1913055;33714;1,76;VK
24;24;25;224406;1476;0,66;VK
25;25;26;1687614;66273;3,93;VK
26;26;27;15708526;42323;0,27;VK
27;27;28;14;0;0;VK
28;28;1;24794;272;1,1;MM
29;29;2;89815;2055;2,29;MM
30;30;3;2383;21;0,88;MM
31;31;4;541;12;2,22;MM
32;32;5;2494;37;1,48;MM
33;33;6;75480;458;0,61;MM
34;34;7;192306;955;0,5;MM
35;35;8;5591;64;1,14;MM
36;36;9;43474;215;0,49;MM
37;37;10;41487;246;0,59;MM
38;38;11;41127;223;0,54;MM
39;39;12;40825;175;0,43;MM
40;40;13;41059;170;0,41;MM
41;41;14;41181;191;0,46;MM
42;42;15;41626;222;0,53;MM
43;43;16;41521;209;0,5;MM
44;44;17;5973;37;0,62;MM
45;45;18;168;0;0;MM
46;46;19;0;0;0;MM
47;47;20;10075;46;0,46;MM
48;48;21;24529;102;0,42;MM
49;49;22;127690;562;0,44;MM
50;50;23;50628;243;0,48;MM
51;51;24;216924;798;0,37;MM
52;52;25;33796;84;0,25;MM
53;53;26;173716;1833;1,06;MM
54;54;27;438636;1590;0,36;MM
55;55;28;0;0;0;MM
56;56;1;721243;85064;11,79;OK
57;57;2;2362420;463863;19,64;OK
58;58;3;65009;6051;9,31;OK
59;59;4;21030;2955;14,05;OK
60;60;5;72060;7251;10,06;OK
61;61;6;1496592;107362;7,17;OK
62;62;7;9948965;240007;2,41;OK
63;63;8;129928;15778;12,14;OK
64;64;9;896587;60404;6,74;OK
65;65;10;876363;54926;6,27;OK
66;66;11;875922;53917;6,16;OK
67;67;12;876809;47938;5,47;OK
68;68;13;728044;42868;5,89;OK
69;69;14;873867;49052;5,61;OK
70;70;15;875503;51744;5,91;OK
71;71;16;873874;49103;5,62;OK
72;72;17;136070;8263;6,07;OK
73;73;18;6474;571;8,82;OK
74;74;19;215;28;13,02;OK
75;75;20;166225;10762;6,47;OK
76;76;21;445638;29687;6,66;OK
77;77;22;3214439;105442;3,28;OK
78;78;23;1131373;72167;6,38;OK
79;79;24;3141992;176908;5,63;OK
80;80;25;541472;29763;5,5;OK
81;81;26;3813855;376546;9,87;OK
82;82;27;20238032;554520;2,74;OK
83;83;28;1;0;0;OK
84;84;1;25971;90;0,35;FB_RU
85;85;2;103489;1657;1,6;FB_RU
86;86;3;2293;18;0,78;FB_RU
87;87;4;1155;15;1,3;FB_RU
88;88;5;2771;21;0,76;FB_RU
89;89;6;67622;116;0,17;FB_RU
90;90;7;321203;194;0,06;FB_RU
91;91;8;5579;35;0,63;FB_RU
92;92;9;34432;76;0,22;FB_RU
93;93;10;31864;77;0,24;FB_RU
94;94;11;31813;73;0,23;FB_RU
95;95;12;31796;45;0,14;FB_RU
96;96;13;31686;61;0,19;FB_RU
97;97;14;31925;55;0,17;FB_RU
98;98;15;32227;57;0,18;FB_RU
99;99;16;31961;60;0,19;FB_RU
